# New Mexico 2025 Tax Rate Table (PIT-TRT pages T-1 to T-6): taxable income more than (exclusive), not over (inclusive), tax for Single, Married Filing Jointly (and Surviving Spouse), Married Filing Separately, Head of Household.
# Source: the Taxation and Revenue Department's '2025 PIT Packet_Final.pdf' (tax.newmexico.gov Forms & Publications, Personal Income Tax), extracted with pdftotext.
18800	18900	536	467	605	467
18900	19000	540	470	609	470
19000	19100	544	474	614	474
19100	19200	548	477	618	477
19200	19300	553	480	622	480
19300	19400	557	483	627	483
19400	19500	561	486	631	486
19500	19600	566	490	635	490
19600	19700	570	493	639	493
19700	19800	574	496	644	496
19800	19900	579	499	648	499
19900	20000	583	502	652	502
20000	20100	587	506	657	506
20100	20200	591	509	661	509
20200	20300	596	512	665	512
20300	20400	600	515	670	515
20400	20500	604	518	674	518
20500	20600	609	522	678	522
20600	20700	613	525	682	525
20700	20800	617	528	687	528
20800	20900	622	531	691	531
20900	21000	626	534	695	534
21000	21100	630	538	700	538
21100	21200	634	541	704	541
21200	21300	639	544	708	544
21300	21400	643	547	713	547
21400	21500	647	550	717	550
21500	21600	652	554	721	554
21600	21700	656	557	725	557
21700	21800	660	560	730	560
21800	21900	665	563	734	563
21900	22000	669	566	738	566
22000	22100	673	570	743	570
22100	22200	677	573	747	573
22200	22300	682	576	751	576
22300	22400	686	579	756	579
22400	22500	690	582	760	582
22500	22600	695	586	764	586
22600	22700	699	589	768	589
22700	22800	703	592	773	592
22800	22900	708	595	777	595
22900	23000	712	598	781	598
23000	23100	716	602	786	602
23100	23200	720	605	790	605
23200	23300	725	608	794	608
23300	23400	729	611	799	611
23400	23500	733	614	803	614
23500	23600	738	618	807	618
23600	23700	742	621	811	621
23700	23800	746	624	816	624
23800	23900	751	627	820	627
23900	24000	755	630	824	630
24000	24100	759	634	829	634
24100	24200	763	637	833	637
24200	24300	768	640	837	640
24300	24400	772	643	842	643
24400	24500	776	646	846	646
24500	24600	781	650	850	650
24600	24700	785	653	854	653
24700	24800	789	656	859	656
24800	24900	794	659	863	659
24900	25000	798	662	867	662
25000	25100	802	666	872	666
25100	25200	806	670	877	670
25200	25300	811	675	881	675
25300	25400	815	679	886	679
